account_name,industry,contract_value,renewal_date,usage_change,support_tickets,nps,last_meeting_notes
Metro Regional Hospital,Healthcare,185000,2026-09-15,-32,8,4,"Client is frustrated with slow adoption across departments. CFO questioned ROI during executive review."
Volunteer Health Network,Healthcare,95000,2026-11-01,12,2,8,"Client is expanding usage and requested advanced reporting capabilities."
Cumberland Surgical Group,Healthcare,42000,2026-07-30,-18,5,6,"Primary admin left company. New contact has not joined onboarding calls."
Summit Care Partners,Healthcare,210000,2026-08-20,-45,11,3,"Executive sponsor said platform is under review after multiple unresolved support issues."
Blue Ridge Medical Supply,GPO,125000,2026-12-10,22,1,9,"Strong engagement. Customer plans expansion into two new departments."
NorthStar Rehab Network,Healthcare,88000,2026-10-18,-9,4,7,"Some complaints about reporting speed but leadership still engaged."
Pioneer Family Clinics,Healthcare,64000,2026-09-02,-27,6,5,"Training participation declined sharply after implementation delays."
Titan Procurement Solutions,GPO,310000,2027-01-15,18,2,9,"Quarterly business review went extremely well. Expansion discussions underway."
East Nashville Specialty Care,Healthcare,57000,2026-07-25,-41,9,3,"Client mentioned evaluating competing vendors due to workflow frustrations."
Riverbend Health Alliance,Healthcare,145000,2026-11-20,5,3,8,"Executive team satisfied overall but requested more adoption support."
Evergreen Senior Health,Healthcare,99000,2026-08-11,-14,5,6,"Several unresolved onboarding questions remain open."
Horizon Surgical Partners,Healthcare,172000,2026-10-30,16,1,9,"Strong physician engagement and positive feedback from operations leadership."
Cardinal Medical Systems,Healthcare,240000,2026-09-05,-38,10,4,"Client escalated concerns around implementation delays and data migration issues."
Southern Value Purchasing,GPO,78000,2026-12-18,11,2,8,"Good utilization growth across purchasing teams."
Liberty Community Hospital,Healthcare,112000,2026-08-28,-22,7,5,"Support frustrations continue and project milestones are behind schedule."
PrimeCare Physician Group,Healthcare,53000,2026-10-12,7,2,8,"Customer requested additional AI workflow features and future roadmap review."
Volunteer Regional Clinics,Healthcare,134000,2026-09-22,-35,8,4,"Executive sponsor has stopped attending recurring meetings."
Sterling Procurement Alliance,GPO,280000,2027-02-01,25,1,10,"Customer identified platform as strategic initiative for next fiscal year."
Crestview Medical Center,Healthcare,161000,2026-07-14,-29,6,5,"Adoption metrics continue trending downward across nursing teams."
Beacon Rural Health,Healthcare,47000,2026-11-08,9,2,8,"Positive sentiment overall though onboarding took longer than expected."
Oakstone Care Network,Healthcare,92000,2026-08-03,-12,4,6,"Customer requested additional training resources for new hires."
Unity Surgical Alliance,Healthcare,187000,2026-10-25,14,2,9,"Excellent executive alignment and strong utilization increases."
Pinnacle Health Procurement,GPO,205000,2026-09-30,-33,9,4,"Customer raised concerns regarding contract savings visibility."
Harmony Women's Health,Healthcare,73000,2026-12-05,6,1,8,"Steady growth and strong physician engagement."
Ironwood Medical Group,Healthcare,119000,2026-08-17,-44,12,2,"Customer expressed severe frustration and mentioned potential cancellation."
Silverline Hospital Network,Healthcare,260000,2027-01-22,19,2,9,"Leadership team praised support responsiveness during QBR."
Magnolia Specialty Clinics,Healthcare,68000,2026-09-09,-17,5,6,"Some confusion remains around analytics dashboards and reporting."
Cedar Grove Health System,Healthcare,143000,2026-11-27,13,2,8,"Customer requested additional integration opportunities."
Velocity Procurement Partners,GPO,330000,2027-03-12,27,1,10,"High engagement from procurement leadership and expansion likely."
Franklin Regional Health,Healthcare,84000,2026-07-19,-26,7,5,"Customer frustrated with delayed implementation milestones."